"Business Name","X Handle","X Profile URL","Website URL","Bio Description"
"VaporDNA","@vapordna","https://x.com/vapordna","https://vapordna.com","Online vape shop offering disposable vapes, premium vape juice, mods, pod systems, and accessories."
"MyVaporStore","@MyVaporStore","https://x.com/MyVaporStore","https://www.myvaporstore.com","Vape store online for e-cigarettes, e-liquids, vape kits, and pens serving adult vapers in the USA."
"EightVape","@EightVape","https://x.com/eightvape","https://www.eightvape.com","Discount online vape shop with low prices on disposables, vape juice, vape kits, and accessories."
"Element Vape","@vapeelement","https://twitter.com/vapeelement","https://www.elementvape.com","Progressive online vape retailer for premium e-liquids, disposables, kits, and vape hardware."
"Vape City USA","@vapecity_usa","https://x.com/vapecity_usa","https://vapecityusa.com","Online vape shop featuring disposable vapes, e-liquids, nicotine pouches, and hemp products with fast US shipping."
"Central Vapors","@CentralVapors","https://x.com/CentralVapors","https://www.centralvapors.com","Online vape shop offering e-juice, vape hardware, starter kits, and accessories from Texas."
"Electric Tobacconist USA","@E_Tobacconist","https://x.com/E_Tobacconist","https://www.electrictobacconist.com","US-focused online vape shop with a wide selection of e-cigarettes, pods, disposables, and vape juice."
"Vapor Authority","@VaporAuthority","https://x.com/vaporauthority","https://www.vaporauthority.com","American online vape retailer for e-juice, starter kits, tanks, coils, and vape accessories."
"VaporFi","@_VaporFi","https://x.com/_VaporFi","https://www.vaporfi.com","Vape brand and online shop offering e-cigarettes, vaporizers, vape juice, and accessories."
"DirectVapor","@DirectVapor","https://x.com/DirectVapor","https://www.directvapor.com","Online vape superstore featuring mods, tanks, starter kits, and e-liquids with competitive pricing."
"Breazy","@BreazyDotCom","https://x.com/BreazyDotCom","https://breazy.com","Online marketplace for vape hardware, e-liquids, disposable vapes, and vaping accessories."
"VapeSourcing","@VapeSourcing","https://x.com/VapeSourcing","https://vapesourcing.com","Global vape retailer offering vape kits, disposables, vape juice, and accessories with US warehouse options."
"Flawless Vape Shop","@FlawlessVape","https://x.com/FlawlessVape","https://www.flawlessvapeshop.com","Online vape shop supplying e-liquids, hardware, coils, and accessories to vapers worldwide."
"Vape Street","@VapeStreet","https://x.com/VapeStreet","https://www.vapestreet.com","Vape retailer providing e-cigarettes, e-liquids, disposable vapes, and vape accessories."
"VapeWild","@VapeWild","https://x.com/VapeWild","https://www.vapewild.com","E-liquid brand and online vape shop known for affordable vape juice and vaping gear."
"Mt Baker Vapor","@mtbakervapor","https://x.com/mtbakervapor","https://www.mtbakervapor.com","Long-running vape brand and online shop for e-liquids, vape devices, and accessories."
"Halo Cigs","@HaloCigs","https://x.com/HaloCigs","https://www.halocigs.com","American e-liquid and vape hardware brand serving adult smokers and vapers."
"VapourDNA UK","@VaporDNAUK","https://x.com/VaporDNAUK","https://vapordna.com","Regional social presence related to VaporDNA promoting vape products and deals."
"Vape Club","@VapeClub","https://x.com/VapeClub","https://www.vapeclub.co.uk","Online vape retailer offering e-liquids, kits, disposables, and coils to adult vapers."
"Totally Wicked","@TotallyWickedUK","https://x.com/TotallyWickedUK","https://www.totallywicked-eliquid.co.uk","Vape company providing e-cigarettes, e-liquids, and vaping accessories."
