"Company","Website","City","Industry","Evidence Link","Notes (benefits/wellness/alt-therapy openness)","Sales Score"
"Axcelis Technologies","https://www.axcelis.com/","Beverly","Semiconductors","https://www.axcelis.com/careers/benefits/","Summary shows medical, dental, FSA, PTO, 401(k), ESPP; strong total rewards. Medical plans + FSA typically support complementary care like chiro/acupuncture per plan; good candidate for on-site/nearby wellness partnerships.","8"
"Beth Israel Lahey Health (Beverly Hospital)","https://beverlyhospital.org/","Beverly","Healthcare","https://jobs.bilh.org/benefits","Comprehensive healthcare and wellness resources as part of BILH system; hospital networks often offer EAP, wellness incentives, and integrative care options; strong alignment with employee wellness initiatives.","9"
"Endicott College","https://www.endicott.edu/","Beverly","Higher Education","https://www.endicott.edu/about/key-offices-departments/human-resources/employee-benefits","Official HR benefits page; robust benefits and beautiful campus amenities; colleges commonly include wellness programs and flexible spending accounts; receptive to holistic wellness partnerships for staff/faculty.","8"
"Montserrat College of Art","https://www.montserrat.edu/","Beverly","Higher Education/Arts","https://www.montserrat.edu/careers/","Local college with HR/careers indicating standard benefits; small, community-oriented employer may value local wellness partners.","7"
"Harmonic Drive LLC","https://www.harmonicdrive.net/","Beverly","Industrial/Robotics","https://www.harmonicdrive.net/careers","Engineering/manufacturing HQ; competitive benefits typical; proximity makes on-site programs feasible.","7"
"Cell Signaling Technology (CST)","https://www.cellsignal.com/","Danvers (5 mi)","Biotechnology","https://careers.cellsignal.com/benefits/","Benefits page highlights exceptional benefits, ERGs, and wellness/balance programs; strong cultural fit for holistic wellness offerings.","9"
"Medtronic (Danvers site)","https://www.medtronic.com/","Danvers (5 mi)","Medical Devices","https://www.medtronic.com/us-en/about/careers/culture/compensation-benefits.html","Global medtech with robust U.S. benefits, wellness programs, and mental health resources; broad medical coverage.","8"
"Abiomed (a Johnson & Johnson MedTech company)","https://www.abiomed.com/","Danvers (5 mi)","Medical Devices","https://www.abiomed.com/en-us/careers/life-at-abiomed","Strong health & wellness support through J&J; culture emphasizes employee well-being; likely to support complementary care through medical plans or stipends.","8"
"EBSCO Information Services","https://www.ebsco.com/","Ipswich (8 mi)","Information Services/Software","https://www.ebsco.com/careers/benefits","Comprehensive benefits incl. mental health, Teladoc, wellness resources; knowledge-worker profile receptive to preventive/holistic offerings.","8"
"New England Biolabs (NEB)","https://www.neb.com/","Ipswich (8 mi)","Biotechnology","https://www.neb.com/en-us/about-neb/careers","Renowned employer with campus-style HQ and strong culture; materials indicate robust benefits and community wellness orientation.","8"
"Gordon College","https://www.gordon.edu/","Wenham (3 mi)","Higher Education","https://www.gordon.edu/offices-services/human-resources/for-prospective-employees/employee-benefits","Official benefits page notes comprehensive medical, dental, retirement; campus wellness culture; adjacent to Beverly.","8"
"Salem State University","https://www.salemstate.edu/","Salem (4 mi)","Higher Education","https://www.salemstate.edu/offices-and-services/human-resources-and-equal-opportunity/summary-employee-benefits","State university with GIC-administered health plans; strong benefits and wellness/EAP resources.","8"
